;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow;L1_White;L1_Blue;L1_Skin;L1_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;09:23:14;09:25:54;09:31:56;09:34:22;09:45:08;09:47:48;09:49:18;09:49:34;09:59:28;10:00:28;10:00:42;10:00:59
392;3,11334E-02;3,54717E-03;3,06949E-03;2,03886E-03;1,17515E-02;9,61301E-04;7,26741E-04;5,07964E-04;-6,96373E-06;2,18697E-05;3,93229E-08;1,00652E-05
393;3,23300E-02;3,81844E-03;3,28582E-03;1,86611E-03;1,24240E-02;9,87303E-04;7,94642E-04;4,66128E-04;-5,75281E-06;8,53733E-06;4,68129E-05;3,89585E-05
394;3,42682E-02;4,16440E-03;3,50406E-03;1,99175E-03;1,26910E-02;1,10935E-03;8,52401E-04;5,31799E-04;1,29137E-05;-1,03322E-05;-4,36752E-06;4,32710E-05
395;3,51574E-02;4,49718E-03;3,84844E-03;2,00275E-03;1,24544E-02;1,19187E-03;9,36519E-04;5,63521E-04;4,79711E-05;-5,05650E-06;1,77279E-05;1,90369E-07
396;3,61808E-02;4,92908E-03;4,04270E-03;2,16927E-03;1,30893E-02;1,22434E-03;9,38793E-04;5,75308E-04;-8,02900E-06;-2,39014E-06;5,12825E-07;3,66659E-05
397;3,79024E-02;5,26083E-03;4,30363E-03;2,26077E-03;1,36795E-02;1,30187E-03;1,00926E-03;5,45145E-04;1,73867E-04;6,53024E-06;1,37146E-05;1,17052E-05
398;3,97725E-02;5,88966E-03;4,59183E-03;2,45776E-03;1,33295E-02;1,32565E-03;1,05242E-03;5,79867E-04;-4,05742E-05;1,93899E-06;-4,87774E-07;-4,10450E-05
399;4,10287E-02;6,21412E-03;4,86451E-03;2,42078E-03;1,39322E-02;1,42685E-03;1,04913E-03;6,08221E-04;1,49788E-05;1,70954E-05;-9,57065E-06;-2,69653E-05
400;4,23220E-02;6,55388E-03;5,05631E-03;2,68145E-03;1,36697E-02;1,47456E-03;1,08805E-03;5,82659E-04;-8,91983E-05;2,13086E-05;4,01026E-05;-2,18945E-05
401;4,34120E-02;7,00074E-03;5,27573E-03;2,45932E-03;1,41461E-02;1,47204E-03;1,09197E-03;5,87176E-04;1,24631E-04;1,01610E-05;1,84986E-05;2,84581E-05
402;4,57340E-02;7,34700E-03;5,71187E-03;2,58982E-03;1,41736E-02;1,59158E-03;1,11659E-03;6,05251E-04;-1,78827E-05;3,10036E-06;-2,06144E-05;-4,26421E-05
403;4,61549E-02;7,79803E-03;5,82804E-03;2,65075E-03;1,45618E-02;1,58390E-03;1,11143E-03;5,75277E-04;-1,19605E-04;1,62261E-07;-1,80665E-05;-2,96415E-05
404;4,53701E-02;7,90159E-03;5,91305E-03;2,67086E-03;1,43795E-02;1,64376E-03;1,16480E-03;5,97236E-04;1,39572E-05;-1,67783E-05;-7,71944E-06;-2,39548E-05
405;4,59122E-02;7,98943E-03;5,76072E-03;2,63989E-03;1,41341E-02;1,63851E-03;1,14255E-03;5,84270E-04;7,35519E-05;1,27003E-05;1,52429E-05;2,34404E-05
406;4,34497E-02;7,74966E-03;5,71902E-03;2,56729E-03;1,33177E-02;1,63439E-03;1,14456E-03;5,51905E-04;4,34124E-05;8,05760E-06;5,30776E-06;-4,50221E-05
407;4,08704E-02;7,53130E-03;5,44147E-03;2,60474E-03;1,26591E-02;1,56300E-03;1,04012E-03;5,76894E-04;6,24963E-05;2,15922E-06;1,52766E-06;2,64966E-05
408;3,84509E-02;7,24571E-03;5,00604E-03;2,41785E-03;1,19029E-02;1,50231E-03;9,62920E-04;5,49564E-04;3,36622E-05;1,55907E-05;-8,12041E-06;3,72091E-05
409;3,57319E-02;6,90794E-03;4,71443E-03;2,12913E-03;1,09708E-02;1,38139E-03;8,95120E-04;4,45923E-04;-4,53373E-05;4,90206E-06;2,94612E-06;-3,34622E-05
410;3,26497E-02;6,32493E-03;4,46168E-03;2,06867E-03;1,02035E-02;1,28761E-03;8,20949E-04;4,59502E-04;2,83032E-05;-3,56009E-06;8,11584E-06;1,67007E-05
411;3,00898E-02;6,07981E-03;4,16658E-03;1,92072E-03;9,46192E-03;1,22352E-03;7,62296E-04;4,42471E-04;1,11666E-04;1,06660E-06;-2,43503E-05;-3,75067E-05
412;2,86920E-02;5,88016E-03;3,86796E-03;1,77612E-03;8,87009E-03;1,19317E-03;7,65515E-04;3,86056E-04;7,70951E-05;1,65726E-05;1,58916E-05;-9,36030E-07
413;2,77114E-02;5,87335E-03;3,71849E-03;1,80683E-03;8,50373E-03;1,15136E-03;7,17082E-04;3,83449E-04;1,20336E-04;1,21121E-05;1,43748E-05;2,12320E-05
414;2,72068E-02;5,82380E-03;3,58860E-03;1,65446E-03;7,85189E-03;1,20887E-03;7,09958E-04;3,13898E-04;2,35971E-06;7,31700E-06;1,20547E-05;9,84412E-06
415;2,67956E-02;6,03612E-03;3,80725E-03;1,68538E-03;8,09629E-03;1,21723E-03;6,90685E-04;3,98249E-04;9,35659E-05;5,51504E-06;-1,98880E-05;4,58852E-05
416;2,73632E-02;6,19224E-03;3,73174E-03;1,57073E-03;8,24705E-03;1,26606E-03;7,22662E-04;3,28765E-04;8,78345E-05;2,51283E-06;2,43546E-05;1,87525E-05
417;2,84540E-02;6,57284E-03;3,97688E-03;1,58039E-03;8,38974E-03;1,34236E-03;7,32403E-04;3,60316E-04;7,31825E-05;2,33877E-05;7,13883E-06;4,30986E-05
418;2,95946E-02;7,09604E-03;4,12911E-03;1,71119E-03;8,72522E-03;1,45126E-03;7,67326E-04;3,50338E-04;1,57377E-05;4,13456E-06;1,46647E-05;2,61809E-05
419;3,11202E-02;7,69995E-03;4,34818E-03;1,84130E-03;9,12099E-03;1,55467E-03;8,25490E-04;3,73111E-04;1,43623E-05;1,86097E-05;1,09664E-05;1,10859E-05
420;3,36949E-02;8,46882E-03;4,71453E-03;2,00826E-03;9,83556E-03;1,72592E-03;9,35467E-04;4,41206E-04;1,37419E-04;1,58008E-05;-2,34739E-05;-3,08585E-05
421;3,62854E-02;9,16930E-03;5,19332E-03;2,22231E-03;1,09070E-02;1,97775E-03;1,01261E-03;5,02170E-04;6,02833E-05;1,51112E-05;3,52913E-07;1,67544E-05
422;4,01501E-02;1,03179E-02;5,60106E-03;2,47047E-03;1,16687E-02;2,13860E-03;1,12554E-03;5,24017E-04;8,83105E-05;2,50117E-05;6,24576E-06;4,92077E-05
423;4,39448E-02;1,15735E-02;6,19886E-03;2,35699E-03;1,29983E-02;2,45330E-03;1,23453E-03;6,02958E-04;5,18819E-05;1,77283E-05;2,24329E-05;4,95155E-05
424;4,71541E-02;1,26435E-02;6,73152E-03;2,80541E-03;1,43059E-02;2,77271E-03;1,44976E-03;6,56333E-04;8,78227E-05;2,01490E-05;-2,09523E-06;3,40084E-05
425;5,25638E-02;1,38817E-02;7,34647E-03;2,99857E-03;1,61951E-02;3,10825E-03;1,56653E-03;7,14413E-04;-5,38759E-06;2,30801E-05;2,43675E-05;-8,61574E-06
426;5,56765E-02;1,50169E-02;8,05961E-03;3,25978E-03;1,76504E-02;3,39407E-03;1,75363E-03;7,90505E-04;1,11693E-04;4,11590E-05;2,66840E-05;1,10006E-05
427;5,91874E-02;1,63073E-02;8,50787E-03;3,53871E-03;1,84428E-02;3,72704E-03;1,83090E-03;8,44320E-04;1,74212E-04;4,61599E-05;3,47360E-05;-1,07133E-05
428;6,14794E-02;1,71958E-02;8,91272E-03;3,65814E-03;1,96158E-02;3,95204E-03;1,99544E-03;8,77636E-04;1,96452E-04;5,77987E-05;2,23447E-05;-1,02357E-05
429;6,27762E-02;1,76831E-02;9,05218E-03;3,70019E-03;2,09658E-02;4,19354E-03;2,09984E-03;9,50628E-04;1,67627E-04;4,76095E-05;1,85458E-05;5,72985E-05
430;6,44040E-02;1,80132E-02;9,44048E-03;3,68673E-03;2,12554E-02;4,38993E-03;2,17540E-03;9,64024E-04;2,96481E-04;6,61556E-05;4,72735E-05;1,37713E-05
431;6,47147E-02;1,84625E-02;9,15294E-03;4,05225E-03;2,24780E-02;4,69217E-03;2,23758E-03;1,09419E-03;3,14129E-04;8,89738E-05;2,56262E-06;1,28044E-06
432;6,40669E-02;1,85316E-02;9,37220E-03;3,92380E-03;2,26833E-02;4,76647E-03;2,30057E-03;1,07122E-03;3,92320E-04;9,77070E-05;3,95545E-05;2,22713E-05
433;6,44927E-02;1,86811E-02;9,31734E-03;3,74811E-03;2,32467E-02;4,84876E-03;2,41309E-03;1,09344E-03;4,24884E-04;1,10101E-04;3,56829E-05;6,00760E-05
434;6,44339E-02;1,91941E-02;9,54522E-03;3,80766E-03;2,32725E-02;5,05678E-03;2,46672E-03;1,18409E-03;5,62314E-04;1,42577E-04;7,34569E-05;6,74913E-06
435;6,59986E-02;1,95009E-02;9,78173E-03;4,14990E-03;2,45979E-02;5,30036E-03;2,53442E-03;1,21812E-03;5,29975E-04;1,56950E-04;7,06961E-05;3,08786E-05
436;6,77214E-02;2,00273E-02;9,88977E-03;4,03141E-03;2,50024E-02;5,55612E-03;2,69665E-03;1,22380E-03;7,73996E-04;1,82312E-04;1,12701E-04;2,93164E-05
437;6,99395E-02;2,09800E-02;1,02439E-02;4,25395E-03;2,59930E-02;5,85871E-03;2,82042E-03;1,30133E-03;1,00100E-03;1,98025E-04;9,65722E-05;7,14336E-05
438;7,29510E-02;2,19412E-02;1,06966E-02;4,64338E-03;2,78962E-02;6,25844E-03;3,00455E-03;1,41836E-03;1,11427E-03;2,38557E-04;1,09620E-04;6,10580E-05
439;7,60260E-02;2,30732E-02;1,10912E-02;4,77502E-03;2,97514E-02;6,72710E-03;3,12848E-03;1,57018E-03;1,23413E-03;2,87509E-04;1,52224E-04;6,99239E-05
440;7,98408E-02;2,43477E-02;1,17017E-02;4,85190E-03;3,15345E-02;7,15617E-03;3,46102E-03;1,70896E-03;1,41931E-03;3,29609E-04;1,89378E-04;5,90590E-05
441;8,34541E-02;2,55526E-02;1,22526E-02;5,14565E-03;3,34333E-02;7,69071E-03;3,67464E-03;1,71054E-03;1,64171E-03;3,87198E-04;2,09244E-04;1,57278E-04
442;8,72361E-02;2,66454E-02;1,30689E-02;5,33700E-03;3,50471E-02;8,22766E-03;3,91616E-03;1,93130E-03;2,07387E-03;4,68538E-04;2,39083E-04;1,27903E-04
443;8,93219E-02;2,74857E-02;1,32605E-02;5,50648E-03;3,71536E-02;8,73903E-03;4,21876E-03;1,94588E-03;2,32428E-03;5,42706E-04;2,81333E-04;1,65937E-04
444;9,11449E-02;2,82662E-02;1,36793E-02;6,00477E-03;3,82295E-02;9,12009E-03;4,42359E-03;2,08835E-03;2,59558E-03;6,13518E-04;2,98922E-04;1,94415E-04
445;9,25332E-02;2,87488E-02;1,39769E-02;5,95266E-03;3,94838E-02;9,45983E-03;4,57978E-03;2,19997E-03;2,91885E-03;7,47966E-04;3,55182E-04;1,83701E-04
446;9,27128E-02;2,91394E-02;1,41558E-02;6,01286E-03;4,12220E-02;9,90593E-03;4,80731E-03;2,21018E-03;3,43856E-03;8,61395E-04;4,29170E-04;2,16141E-04
447;9,20483E-02;2,90865E-02;1,41375E-02;5,66452E-03;4,17525E-02;1,00600E-02;4,92013E-03;2,30933E-03;4,08057E-03;9,99771E-04;4,77111E-04;2,71904E-04
448;9,22025E-02;2,88961E-02;1,44193E-02;5,93183E-03;4,23345E-02;1,02608E-02;4,98041E-03;2,36764E-03;4,57929E-03;1,15912E-03;5,89876E-04;2,52999E-04
449;9,15183E-02;2,90307E-02;1,43791E-02;5,70048E-03;4,26534E-02;1,04364E-02;5,15261E-03;2,35224E-03;5,32343E-03;1,28894E-03;6,73544E-04;3,08901E-04
450;8,94568E-02;2,85549E-02;1,43517E-02;5,91843E-03;4,26248E-02;1,05415E-02;5,29122E-03;2,34036E-03;6,27365E-03;1,54026E-03;7,90083E-04;3,99921E-04
451;8,85999E-02;2,85318E-02;1,44796E-02;5,54337E-03;4,30591E-02;1,06036E-02;5,34501E-03;2,34511E-03;7,05075E-03;1,73294E-03;9,48150E-04;3,89405E-04
452;8,83282E-02;2,81856E-02;1,43250E-02;5,77764E-03;4,27071E-02;1,07371E-02;5,60772E-03;2,44808E-03;7,88030E-03;1,98114E-03;9,94523E-04;5,08790E-04
453;8,68831E-02;2,79850E-02;1,44561E-02;5,87765E-03;4,21718E-02;1,07824E-02;5,59415E-03;2,39077E-03;9,12651E-03;2,28836E-03;1,17455E-03;5,38800E-04
454;8,62933E-02;2,77585E-02;1,45105E-02;5,75857E-03;4,28353E-02;1,08528E-02;5,73969E-03;2,39003E-03;1,05552E-02;2,53115E-03;1,40796E-03;6,25502E-04
455;8,58095E-02;2,77577E-02;1,46583E-02;5,61938E-03;4,27338E-02;1,07789E-02;5,68371E-03;2,31379E-03;1,18541E-02;2,89921E-03;1,49561E-03;7,00639E-04
456;8,57692E-02;2,74406E-02;1,45268E-02;5,66378E-03;4,25087E-02;1,07352E-02;5,75334E-03;2,42356E-03;1,33271E-02;3,30039E-03;1,80844E-03;7,98085E-04
457;8,50437E-02;2,71462E-02;1,46285E-02;5,74422E-03;4,18663E-02;1,05613E-02;5,68310E-03;2,43363E-03;1,52099E-02;3,67890E-03;1,99630E-03;9,59169E-04
458;8,40495E-02;2,67695E-02;1,46066E-02;5,64252E-03;4,11690E-02;1,03924E-02;5,67108E-03;2,35564E-03;1,67119E-02;4,16917E-03;2,27628E-03;1,11963E-03
459;8,39357E-02;2,66611E-02;1,44931E-02;5,64600E-03;4,05224E-02;1,00913E-02;5,66968E-03;2,33024E-03;1,92062E-02;4,70521E-03;2,60994E-03;1,20474E-03
460;8,36133E-02;2,66277E-02;1,49317E-02;5,82560E-03;4,01827E-02;9,95954E-03;5,54578E-03;2,35463E-03;2,16896E-02;5,25027E-03;2,99627E-03;1,40425E-03
461;8,43049E-02;2,67634E-02;1,51329E-02;5,77603E-03;3,95001E-02;9,78781E-03;5,57410E-03;2,26464E-03;2,42132E-02;5,94333E-03;3,36563E-03;1,60866E-03
462;8,47061E-02;2,66521E-02;1,54008E-02;6,10571E-03;3,90698E-02;9,62119E-03;5,52496E-03;2,34972E-03;2,71383E-02;6,63051E-03;3,85212E-03;1,74616E-03
463;8,65517E-02;2,71245E-02;1,56352E-02;6,15358E-03;3,92177E-02;9,48978E-03;5,50201E-03;2,29414E-03;3,07316E-02;7,37636E-03;4,32071E-03;2,01001E-03
464;8,82630E-02;2,75257E-02;1,62832E-02;6,20860E-03;3,90402E-02;9,41662E-03;5,58599E-03;2,37866E-03;3,35463E-02;8,15055E-03;4,89758E-03;2,26416E-03
465;9,16992E-02;2,80801E-02;1,66940E-02;6,93883E-03;3,95672E-02;9,60153E-03;5,78617E-03;2,41123E-03;3,75834E-02;9,01227E-03;5,63905E-03;2,48669E-03
466;9,41501E-02;2,87241E-02;1,75718E-02;7,01126E-03;3,98945E-02;9,64921E-03;5,87370E-03;2,57332E-03;4,13134E-02;9,82559E-03;6,05008E-03;2,88590E-03
467;9,59073E-02;2,90862E-02;1,80014E-02;7,33460E-03;4,12942E-02;9,77707E-03;6,14141E-03;2,62119E-03;4,46610E-02;1,05690E-02;6,71266E-03;3,16278E-03
468;9,82133E-02;2,97218E-02;1,84847E-02;7,52003E-03;4,23241E-02;1,00233E-02;6,30152E-03;2,68739E-03;4,78634E-02;1,11898E-02;7,24759E-03;3,32374E-03
469;9,92622E-02;2,97416E-02;1,91440E-02;7,81014E-03;4,32625E-02;1,01598E-02;6,57623E-03;2,87181E-03;5,05773E-02;1,17676E-02;7,78284E-03;3,59528E-03
470;9,98109E-02;2,98419E-02;1,92527E-02;7,84522E-03;4,41944E-02;1,01818E-02;6,72676E-03;2,87435E-03;5,23536E-02;1,21378E-02;8,20292E-03;3,73408E-03
471;1,00860E-01;2,95223E-02;1,96904E-02;8,21388E-03;4,51416E-02;1,03634E-02;6,94880E-03;3,05430E-03;5,37006E-02;1,24860E-02;8,52700E-03;3,84506E-03
472;9,84389E-02;2,92050E-02;1,95940E-02;8,08827E-03;4,54529E-02;1,02334E-02;7,02726E-03;3,09155E-03;5,44102E-02;1,24390E-02;8,69431E-03;3,93368E-03
473;9,66823E-02;2,80957E-02;1,95871E-02;7,97066E-03;4,52726E-02;1,01308E-02;7,14392E-03;3,15165E-03;5,34880E-02;1,20862E-02;8,67876E-03;4,04192E-03
474;9,40986E-02;2,70915E-02;1,94099E-02;8,10238E-03;4,50484E-02;1,00212E-02;7,18579E-03;3,20629E-03;5,21571E-02;1,17697E-02;8,57560E-03;3,99670E-03
475;9,12565E-02;2,59443E-02;1,88775E-02;7,86482E-03;4,40982E-02;9,74499E-03;7,12676E-03;3,15447E-03;5,01099E-02;1,11752E-02;8,30172E-03;3,87285E-03
476;8,75116E-02;2,47543E-02;1,83572E-02;7,78706E-03;4,31226E-02;9,36823E-03;6,90282E-03;3,12693E-03;4,71149E-02;1,05080E-02;8,11325E-03;3,67467E-03
477;8,44987E-02;2,36153E-02;1,79770E-02;7,57116E-03;4,18076E-02;8,95336E-03;6,88780E-03;3,06949E-03;4,45842E-02;9,75466E-03;7,69470E-03;3,60613E-03
478;8,04185E-02;2,22464E-02;1,75620E-02;7,24770E-03;4,02151E-02;8,51438E-03;6,71811E-03;3,00863E-03;4,14712E-02;9,02940E-03;7,19720E-03;3,36113E-03
479;7,76584E-02;2,12158E-02;1,71988E-02;7,31629E-03;3,83126E-02;8,13695E-03;6,62865E-03;2,98223E-03;3,83890E-02;8,23658E-03;6,80482E-03;3,14461E-03
480;7,55268E-02;2,03716E-02;1,70065E-02;7,48744E-03;3,76014E-02;7,74855E-03;6,43200E-03;2,97398E-03;3,58528E-02;7,62841E-03;6,30076E-03;3,01626E-03
481;7,32162E-02;1,94142E-02;1,67386E-02;7,35023E-03;3,59570E-02;7,39975E-03;6,27801E-03;2,91131E-03;3,32162E-02;6,95543E-03;5,99985E-03;2,83662E-03
482;7,21341E-02;1,87915E-02;1,66066E-02;7,23507E-03;3,55497E-02;7,04878E-03;6,15068E-03;2,90702E-03;3,05901E-02;6,39080E-03;5,72712E-03;2,68539E-03
483;7,13946E-02;1,83407E-02;1,66926E-02;7,59762E-03;3,43388E-02;6,79048E-03;6,26015E-03;2,99855E-03;2,92991E-02;5,93222E-03;5,40362E-03;2,65382E-03
484;7,13807E-02;1,79637E-02;1,68703E-02;7,97777E-03;3,33133E-02;6,61977E-03;6,12442E-03;2,87998E-03;2,75401E-02;5,54225E-03;5,16837E-03;2,61405E-03
485;7,15889E-02;1,77021E-02;1,69439E-02;8,21842E-03;3,36833E-02;6,41507E-03;6,18376E-03;3,07029E-03;2,64353E-02;5,17729E-03;5,02384E-03;2,52751E-03
486;7,30309E-02;1,76754E-02;1,75568E-02;8,65545E-03;3,35092E-02;6,34687E-03;6,26504E-03;3,16323E-03;2,53948E-02;4,89670E-03;4,93670E-03;2,44723E-03
487;7,39911E-02;1,75664E-02;1,81284E-02;8,86939E-03;3,36703E-02;6,23225E-03;6,41257E-03;3,26441E-03;2,47067E-02;4,70159E-03;4,79242E-03;2,55369E-03
488;7,60739E-02;1,76472E-02;1,85963E-02;9,30403E-03;3,38403E-02;6,23494E-03;6,57716E-03;3,47859E-03;2,37893E-02;4,46626E-03;4,70414E-03;2,52893E-03
489;7,79484E-02;1,77235E-02;1,92463E-02;1,02724E-02;3,45386E-02;6,19169E-03;6,75352E-03;3,60756E-03;2,36932E-02;4,32645E-03;4,69646E-03;2,64092E-03
490;8,07875E-02;1,80723E-02;2,02055E-02;1,04816E-02;3,54704E-02;6,19974E-03;6,98596E-03;3,91630E-03;2,32073E-02;4,19795E-03;4,63822E-03;2,65748E-03
491;8,36944E-02;1,80714E-02;2,08622E-02;1,14908E-02;3,63927E-02;6,22116E-03;7,24435E-03;4,11750E-03;2,28313E-02;4,05578E-03;4,69910E-03;2,73583E-03
492;8,56418E-02;1,83589E-02;2,17510E-02;1,22422E-02;3,74298E-02;6,28183E-03;7,58926E-03;4,40505E-03;2,30157E-02;3,95750E-03;4,70662E-03;2,84354E-03
493;8,78705E-02;1,83132E-02;2,24636E-02;1,29542E-02;3,86710E-02;6,32196E-03;7,82145E-03;4,66258E-03;2,30995E-02;3,86525E-03;4,70320E-03;2,92120E-03
494;9,12438E-02;1,86241E-02;2,32425E-02;1,40230E-02;3,97715E-02;6,41056E-03;8,17760E-03;5,08787E-03;2,29684E-02;3,80135E-03;4,89763E-03;3,08016E-03
495;9,37062E-02;1,87488E-02;2,41391E-02;1,52446E-02;4,07439E-02;6,40652E-03;8,37991E-03;5,49288E-03;2,35160E-02;3,75226E-03;4,89479E-03;3,18288E-03
496;9,60584E-02;1,89596E-02;2,48347E-02;1,60626E-02;4,23708E-02;6,49517E-03;8,75152E-03;5,79838E-03;2,35240E-02;3,71528E-03;5,00946E-03;3,38640E-03
497;9,82828E-02;1,89483E-02;2,55739E-02;1,72636E-02;4,33573E-02;6,50383E-03;9,06913E-03;6,31248E-03;2,37151E-02;3,63904E-03;5,06980E-03;3,64655E-03
498;9,99368E-02;1,90079E-02;2,65875E-02;1,83980E-02;4,46596E-02;6,55247E-03;9,29308E-03;6,83286E-03;2,42511E-02;3,69369E-03;5,17408E-03;3,75308E-03
499;1,01074E-01;1,87222E-02;2,64567E-02;1,95071E-02;4,49075E-02;6,58295E-03;9,63923E-03;7,25548E-03;2,43126E-02;3,59001E-03;5,20089E-03;3,91216E-03
500;1,02568E-01;1,83596E-02;2,71467E-02;2,03982E-02;4,65941E-02;6,63219E-03;9,83688E-03;7,70063E-03;2,42114E-02;3,52322E-03;5,21790E-03;4,28419E-03
501;1,02611E-01;1,81595E-02;2,72423E-02;2,16592E-02;4,70487E-02;6,46877E-03;9,88923E-03;8,18032E-03;2,43109E-02;3,42277E-03;5,31979E-03;4,36829E-03
502;1,02427E-01;1,76504E-02;2,73371E-02;2,27268E-02;4,77072E-02;6,51461E-03;1,00779E-02;8,73833E-03;2,41570E-02;3,36557E-03;5,27606E-03;4,54408E-03
503;1,02508E-01;1,73122E-02;2,74308E-02;2,38066E-02;4,77552E-02;6,38762E-03;1,01692E-02;9,05863E-03;2,41624E-02;3,28629E-03;5,23582E-03;4,75927E-03
504;1,00946E-01;1,68047E-02;2,71911E-02;2,45256E-02;4,77586E-02;6,22518E-03;1,02304E-02;9,37087E-03;2,34565E-02;3,20827E-03;5,19124E-03;4,82769E-03
505;1,00175E-01;1,62860E-02;2,68391E-02;2,52888E-02;4,77739E-02;6,05768E-03;1,01115E-02;9,90959E-03;2,35571E-02;3,04306E-03;5,03109E-03;5,03885E-03
506;9,80178E-02;1,56976E-02;2,66350E-02;2,64151E-02;4,74408E-02;5,95666E-03;1,01392E-02;1,02558E-02;2,28026E-02;2,88464E-03;4,95186E-03;5,11134E-03
507;9,70777E-02;1,51856E-02;2,61573E-02;2,72916E-02;4,70067E-02;5,79268E-03;1,00607E-02;1,07192E-02;2,24946E-02;2,80529E-03;4,85566E-03;5,30201E-03
508;9,50718E-02;1,45704E-02;2,56845E-02;2,79696E-02;4,67411E-02;5,60586E-03;9,90647E-03;1,11262E-02;2,25657E-02;2,70268E-03;4,77594E-03;5,40061E-03
509;9,39223E-02;1,39042E-02;2,49923E-02;2,87459E-02;4,64221E-02;5,42354E-03;9,65814E-03;1,14696E-02;2,15822E-02;2,57610E-03;4,71469E-03;5,55384E-03
510;9,26380E-02;1,36772E-02;2,47561E-02;3,01042E-02;4,59742E-02;5,31876E-03;9,66272E-03;1,18297E-02;2,14292E-02;2,49524E-03;4,59607E-03;5,79812E-03
511;9,20106E-02;1,30437E-02;2,42322E-02;3,04517E-02;4,55234E-02;5,19439E-03;9,51028E-03;1,23831E-02;2,12251E-02;2,42518E-03;4,44983E-03;5,98689E-03
512;9,03391E-02;1,27155E-02;2,38422E-02;3,15526E-02;4,52263E-02;5,01501E-03;9,44986E-03;1,27522E-02;2,15167E-02;2,35554E-03;4,48297E-03;6,23472E-03
513;9,01469E-02;1,24268E-02;2,33314E-02;3,24133E-02;4,47531E-02;4,93243E-03;9,33676E-03;1,32631E-02;2,13628E-02;2,29851E-03;4,49615E-03;6,63001E-03
514;8,85591E-02;1,20097E-02;2,32834E-02;3,33300E-02;4,46293E-02;4,71448E-03;9,15956E-03;1,36280E-02;2,17416E-02;2,25518E-03;4,43941E-03;6,86215E-03
515;8,82126E-02;1,15949E-02;2,28138E-02;3,45798E-02;4,42227E-02;4,64244E-03;9,03582E-03;1,40216E-02;2,19203E-02;2,27357E-03;4,54741E-03;7,18949E-03
516;8,82008E-02;1,14039E-02;2,24562E-02;3,52977E-02;4,46286E-02;4,55079E-03;8,94791E-03;1,45687E-02;2,30200E-02;2,27607E-03;4,45962E-03;7,78968E-03
517;8,83898E-02;1,10978E-02;2,21869E-02;3,70514E-02;4,44936E-02;4,48836E-03;8,91947E-03;1,49875E-02;2,34749E-02;2,30119E-03;4,64063E-03;8,24904E-03
518;8,77791E-02;1,09369E-02;2,17615E-02;3,80180E-02;4,49166E-02;4,36821E-03;8,77527E-03;1,57500E-02;2,40935E-02;2,32731E-03;4,77476E-03;8,76703E-03
519;8,74323E-02;1,07989E-02;2,15592E-02;3,91639E-02;4,42513E-02;4,40293E-03;8,65659E-03;1,59518E-02;2,54209E-02;2,39141E-03;4,80361E-03;9,36760E-03
520;8,80296E-02;1,04292E-02;2,11241E-02;3,99190E-02;4,48967E-02;4,28107E-03;8,56539E-03;1,65867E-02;2,58055E-02;2,39167E-03;4,93730E-03;1,00494E-02
521;8,80916E-02;1,02277E-02;2,09765E-02;4,15775E-02;4,52611E-02;4,19236E-03;8,56600E-03;1,71705E-02;2,71504E-02;2,42171E-03;5,06110E-03;1,05977E-02
522;8,78172E-02;1,01506E-02;2,05635E-02;4,20363E-02;4,53562E-02;4,18257E-03;8,47615E-03;1,77252E-02;2,78131E-02;2,47217E-03;5,13904E-03;1,13210E-02
523;8,81131E-02;9,87047E-03;2,03173E-02;4,30608E-02;4,56281E-02;4,09373E-03;8,40749E-03;1,81296E-02;2,91756E-02;2,50954E-03;5,24334E-03;1,21885E-02
524;8,79676E-02;9,78651E-03;1,99801E-02;4,45044E-02;4,62123E-02;3,99987E-03;8,36769E-03;1,86847E-02;3,01167E-02;2,52282E-03;5,31588E-03;1,25107E-02
525;8,81204E-02;9,59049E-03;1,96640E-02;4,47203E-02;4,64801E-02;4,00958E-03;8,31199E-03;1,91822E-02;3,10892E-02;2,58616E-03;5,26096E-03;1,31495E-02
526;8,79925E-02;9,46216E-03;1,94034E-02;4,62792E-02;4,67560E-02;4,02157E-03;8,08909E-03;1,95448E-02;3,17050E-02;2,53193E-03;5,29357E-03;1,34868E-02
527;8,88191E-02;9,34948E-03;1,91921E-02;4,65165E-02;4,67615E-02;3,94450E-03;8,06756E-03;1,99586E-02;3,18715E-02;2,55691E-03;5,39760E-03;1,40371E-02
528;8,87099E-02;9,19348E-03;1,89445E-02;4,73041E-02;4,69323E-02;3,89643E-03;8,02584E-03;2,05433E-02;3,20432E-02;2,52303E-03;5,38342E-03;1,42317E-02
529;8,84974E-02;9,22490E-03;1,88931E-02;4,80400E-02;4,74205E-02;3,85131E-03;7,97396E-03;2,06499E-02;3,21886E-02;2,56012E-03;5,22200E-03;1,44364E-02
530;8,78227E-02;8,85760E-03;1,82682E-02;4,85646E-02;4,79178E-02;3,83560E-03;7,88152E-03;2,11809E-02;3,21956E-02;2,50419E-03;5,20961E-03;1,44284E-02
