;;;;
;;;;
;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune
Correction;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025
646;3,28515E-02;2,29963E-03;6,03897E-03;1,76705E-02
647;3,27169E-02;2,32106E-03;6,00066E-03;1,76171E-02
648;3,24853E-02;2,32578E-03;5,95641E-03;1,74933E-02
649;3,23431E-02;2,33821E-03;5,92042E-03;1,75082E-02
650;3,22270E-02;2,34824E-03;5,89657E-03;1,73603E-02
651;3,21710E-02;2,36967E-03;5,86223E-03;1,73274E-02
652;3,18986E-02;2,35219E-03;5,84274E-03;1,72628E-02
653;3,16358E-02;2,39860E-03;5,82109E-03;1,71375E-02
654;3,15346E-02;2,38012E-03;5,78323E-03;1,70421E-02
655;3,12755E-02;2,40367E-03;5,72855E-03;1,69998E-02
656;3,10295E-02;2,39853E-03;5,66441E-03;1,68342E-02
657;3,07735E-02;2,40574E-03;5,65824E-03;1,67198E-02
658;3,04515E-02;2,40812E-03;5,58372E-03;1,65909E-02
659;3,00018E-02;2,42772E-03;5,53977E-03;1,63715E-02
660;2,95717E-02;2,38617E-03;5,48756E-03;1,61745E-02
661;2,94718E-02;2,39950E-03;5,42370E-03;1,60250E-02
662;2,88957E-02;2,39725E-03;5,37416E-03;1,58576E-02
663;2,87576E-02;2,39824E-03;5,34621E-03;1,56627E-02
664;2,83294E-02;2,42583E-03;5,27313E-03;1,54720E-02
665;2,80286E-02;2,40390E-03;5,24798E-03;1,53501E-02
666;2,77036E-02;2,39443E-03;5,20637E-03;1,51670E-02
667;2,75505E-02;2,41252E-03;5,19738E-03;1,50153E-02
668;2,72610E-02;2,43826E-03;5,13515E-03;1,48794E-02
669;2,68722E-02;2,41428E-03;5,11496E-03;1,47588E-02
670;2,70180E-02;2,45206E-03;5,10070E-03;1,46640E-02
671;2,66021E-02;2,48707E-03;5,10380E-03;1,45869E-02
672;2,66660E-02;2,50489E-03;5,07600E-03;1,45591E-02
673;2,65825E-02;2,52496E-03;5,09061E-03;1,44725E-02
674;2,64296E-02;2,54233E-03;5,09502E-03;1,44754E-02
675;2,62437E-02;2,55433E-03;5,06225E-03;1,43587E-02
676;2,56739E-02;2,55570E-03;5,04416E-03;1,41416E-02
677;2,52692E-02;2,54266E-03;4,94970E-03;1,38339E-02
678;2,45018E-02;2,51763E-03;4,83906E-03;1,34629E-02
679;2,36811E-02;2,46804E-03;4,69580E-03;1,30218E-02
680;2,25945E-02;2,44671E-03;4,56603E-03;1,26149E-02
681;2,18671E-02;2,37289E-03;4,40622E-03;1,21427E-02
682;2,11155E-02;2,34997E-03;4,27547E-03;1,17410E-02
683;2,03808E-02;2,29201E-03;4,15766E-03;1,12991E-02
684;1,96432E-02;2,29819E-03;4,04748E-03;1,10209E-02
685;1,93735E-02;2,29405E-03;3,96169E-03;1,07056E-02
686;1,86266E-02;2,27301E-03;3,85901E-03;1,04297E-02
687;1,82528E-02;2,26268E-03;3,81478E-03;1,01448E-02
688;1,77557E-02;2,24604E-03;3,70470E-03;9,95157E-03
689;1,75557E-02;2,25180E-03;3,64623E-03;9,76642E-03
690;1,71780E-02;2,24461E-03;3,60429E-03;9,57900E-03
691;1,68004E-02;2,25121E-03;3,53977E-03;9,41154E-03
692;1,65933E-02;2,26793E-03;3,49498E-03;9,21841E-03
693;1,62493E-02;2,25672E-03;3,43767E-03;9,10220E-03
694;1,60645E-02;2,28801E-03;3,39443E-03;9,05288E-03
695;1,59418E-02;2,33193E-03;3,39682E-03;8,90999E-03
696;1,56427E-02;2,33669E-03;3,32262E-03;8,81552E-03
697;1,55853E-02;2,35739E-03;3,27847E-03;8,75505E-03
698;1,53145E-02;2,38913E-03;3,28943E-03;8,64492E-03
699;1,52969E-02;2,44128E-03;3,26664E-03;8,59881E-03
700;1,53310E-02;2,47612E-03;3,26578E-03;8,58953E-03
701;1,52429E-02;2,51509E-03;3,24226E-03;8,58931E-03
702;1,50965E-02;2,57152E-03;3,24282E-03;8,54386E-03
703;1,51402E-02;2,62189E-03;3,22490E-03;8,58265E-03
704;1,52872E-02;2,68727E-03;3,23011E-03;8,52799E-03
705;1,52252E-02;2,74941E-03;3,22443E-03;8,59685E-03
706;1,53300E-02;2,82176E-03;3,24274E-03;8,56571E-03
707;1,53814E-02;2,88791E-03;3,26598E-03;8,70053E-03
708;1,55481E-02;2,96020E-03;3,27374E-03;8,76040E-03
709;1,57918E-02;3,07029E-03;3,28692E-03;8,79822E-03
710;1,60928E-02;3,16167E-03;3,32700E-03;8,96993E-03
711;1,63540E-02;3,28771E-03;3,36526E-03;9,07207E-03
712;1,65257E-02;3,40325E-03;3,41460E-03;9,30371E-03
713;1,68588E-02;3,58288E-03;3,48436E-03;9,43779E-03
714;1,73924E-02;3,71644E-03;3,55751E-03;9,72058E-03
715;1,77661E-02;3,89779E-03;3,60466E-03;9,86843E-03
716;1,81224E-02;4,02472E-03;3,64210E-03;1,00838E-02
717;1,82687E-02;4,16665E-03;3,68898E-03;1,02714E-02
718;1,85305E-02;4,25105E-03;3,69052E-03;1,03874E-02
719;1,84018E-02;4,31200E-03;3,67622E-03;1,02286E-02
720;1,81506E-02;4,30517E-03;3,64203E-03;1,02666E-02
721;1,77508E-02;4,30645E-03;3,55224E-03;1,00183E-02
722;1,73773E-02;4,28301E-03;3,47735E-03;9,84474E-03
723;1,70285E-02;4,25432E-03;3,43546E-03;9,58617E-03
724;1,67555E-02;4,26261E-03;3,34551E-03;9,45622E-03
725;1,66000E-02;4,29219E-03;3,32899E-03;9,37344E-03
726;1,66519E-02;4,36843E-03;3,32926E-03;9,36850E-03
727;1,66736E-02;4,44764E-03;3,34326E-03;9,30400E-03
728;1,68306E-02;4,54283E-03;3,35093E-03;9,46445E-03
729;1,70950E-02;4,68762E-03;3,39375E-03;9,56032E-03
730;1,74802E-02;4,78215E-03;3,45476E-03;9,71621E-03
731;1,77310E-02;4,97578E-03;3,51859E-03;9,98243E-03
732;1,78709E-02;5,10061E-03;3,59001E-03;1,00766E-02
733;1,79682E-02;5,17737E-03;3,61237E-03;1,01616E-02
734;1,80467E-02;5,24010E-03;3,63222E-03;1,01553E-02
735;1,77211E-02;5,20219E-03;3,59070E-03;1,00961E-02
736;1,73491E-02;5,14157E-03;3,53310E-03;9,83750E-03
737;1,64428E-02;4,98108E-03;3,41860E-03;9,48083E-03
738;1,57201E-02;4,76990E-03;3,27470E-03;9,00212E-03
739;1,48804E-02;4,51110E-03;3,09465E-03;8,49415E-03
740;1,38435E-02;4,29795E-03;2,94417E-03;8,00799E-03
741;1,32225E-02;4,08505E-03;2,79577E-03;7,63589E-03
742;1,25631E-02;3,91294E-03;2,69122E-03;7,26238E-03
743;1,20055E-02;3,81274E-03;2,62874E-03;7,02144E-03
744;1,18127E-02;3,68404E-03;2,55268E-03;6,87566E-03
745;1,17179E-02;3,67769E-03;2,53915E-03;6,76673E-03
746;1,16569E-02;3,69578E-03;2,56524E-03;6,69620E-03
747;1,17168E-02;3,73028E-03;2,59099E-03;6,78500E-03
748;1,19907E-02;3,84377E-03;2,63930E-03;6,87916E-03
749;1,20894E-02;3,91964E-03;2,71737E-03;6,95829E-03
750;1,25085E-02;3,98976E-03;2,79102E-03;7,13886E-03
751;1,28420E-02;4,14734E-03;2,87050E-03;7,38389E-03
752;1,33830E-02;4,32768E-03;2,99880E-03;7,63415E-03
753;1,37020E-02;4,46113E-03;3,07584E-03;7,88434E-03
754;1,42436E-02;4,68945E-03;3,20305E-03;8,18003E-03
755;1,47137E-02;4,90178E-03;3,36128E-03;8,52375E-03
756;1,54302E-02;5,10008E-03;3,53801E-03;8,84485E-03
757;1,61660E-02;5,40809E-03;3,72163E-03;9,33344E-03
758;1,70339E-02;5,71544E-03;3,94743E-03;9,84606E-03
759;1,78917E-02;6,02583E-03;4,12633E-03;1,03878E-02
760;1,90245E-02;6,36709E-03;4,37250E-03;1,09579E-02
761;1,98416E-02;6,69729E-03;4,63574E-03;1,13434E-02
762;2,05970E-02;6,94078E-03;4,75253E-03;1,18569E-02
763;2,06617E-02;7,07464E-03;4,85772E-03;1,20796E-02
764;2,08171E-02;7,12941E-03;4,88974E-03;1,21025E-02
765;2,03650E-02;7,07307E-03;4,80429E-03;1,19608E-02
766;1,95936E-02;6,85522E-03;4,69079E-03;1,15313E-02
767;1,86435E-02;6,59347E-03;4,46039E-03;1,10284E-02
768;1,75607E-02;6,24413E-03;4,20802E-03;1,03628E-02
769;1,64991E-02;5,98328E-03;3,95537E-03;9,77461E-03
770;1,56676E-02;5,67302E-03;3,71702E-03;9,33258E-03
771;1,51032E-02;5,46945E-03;3,58116E-03;8,90080E-03
772;1,44615E-02;5,34648E-03;3,44427E-03;8,62905E-03
773;1,44412E-02;5,30589E-03;3,36777E-03;8,45294E-03
774;1,41858E-02;5,29243E-03;3,34183E-03;8,30265E-03
775;1,42214E-02;5,36505E-03;3,34368E-03;8,33518E-03
776;1,43956E-02;5,45480E-03;3,34029E-03;8,43341E-03
777;1,45981E-02;5,56448E-03;3,41684E-03;8,53362E-03
778;1,52589E-02;5,76361E-03;3,51999E-03;8,77926E-03
779;1,56631E-02;6,02805E-03;3,64978E-03;9,05746E-03
780;1,62694E-02;6,27964E-03;3,75855E-03;9,44209E-03
781;1,69107E-02;6,55444E-03;3,92526E-03;9,70480E-03
782;1,77056E-02;6,89311E-03;4,03951E-03;1,01993E-02
783;1,84066E-02;7,16348E-03;4,24186E-03;1,06377E-02
784;1,90850E-02;7,52342E-03;4,39838E-03;1,10873E-02
785;2,00013E-02;7,81150E-03;4,59557E-03;1,15259E-02
786;2,05992E-02;8,17431E-03;4,77413E-03;1,19559E-02
787;2,14738E-02;8,47005E-03;4,94658E-03;1,24319E-02
788;2,22445E-02;8,76826E-03;5,16172E-03;1,29022E-02
789;2,29256E-02;9,06707E-03;5,30391E-03;1,32877E-02
790;2,36858E-02;9,44752E-03;5,53803E-03;1,38384E-02
791;2,46915E-02;9,84404E-03;5,78958E-03;1,43169E-02
792;2,60030E-02;1,03240E-02;6,03611E-03;1,50919E-02
793;2,74360E-02;1,08054E-02;6,37309E-03;1,58343E-02
794;2,87527E-02;1,14325E-02;6,70235E-03;1,66182E-02
795;3,02457E-02;1,20429E-02;7,08900E-03;1,75198E-02
796;3,20607E-02;1,27844E-02;7,52885E-03;1,85407E-02
797;3,40329E-02;1,35314E-02;8,02402E-03;1,97109E-02
798;3,61970E-02;1,42880E-02;8,45317E-03;2,06782E-02
799;3,76488E-02;1,50237E-02;8,94624E-03;2,17345E-02
800;3,89745E-02;1,55000E-02;9,26727E-03;2,25380E-02
801;3,96118E-02;1,58507E-02;9,58826E-03;2,30604E-02
802;3,96225E-02;1,58357E-02;9,57619E-03;2,31651E-02
803;3,86460E-02;1,55315E-02;9,52743E-03;2,28474E-02
804;3,72509E-02;1,49905E-02;9,15440E-03;2,20243E-02
805;3,45717E-02;1,40523E-02;8,64629E-03;2,08136E-02
806;3,15221E-02;1,28970E-02;8,01367E-03;1,90447E-02
807;2,80645E-02;1,15773E-02;7,23808E-03;1,72330E-02
808;2,48674E-02;1,02282E-02;6,44627E-03;1,51856E-02
809;2,16851E-02;8,96329E-03;5,70209E-03;1,33809E-02
810;1,89998E-02;7,81186E-03;4,97342E-03;1,17258E-02
811;1,65858E-02;6,82700E-03;4,41347E-03;1,02237E-02
812;1,45772E-02;6,02899E-03;3,89532E-03;9,03633E-03
813;1,28641E-02;5,33066E-03;3,49858E-03;7,88848E-03
814;1,13990E-02;4,69577E-03;3,10501E-03;7,12610E-03
815;1,02291E-02;4,18309E-03;2,80543E-03;6,26488E-03
816;9,40952E-03;3,82051E-03;2,57132E-03;5,72548E-03
817;8,50072E-03;3,52039E-03;2,36979E-03;5,32239E-03
818;7,98355E-03;3,26555E-03;2,23207E-03;4,94238E-03
819;7,58298E-03;3,07806E-03;2,13130E-03;4,68306E-03
820;7,19184E-03;2,91900E-03;2,02581E-03;4,44731E-03
821;6,92188E-03;2,85285E-03;1,98542E-03;4,28345E-03
822;6,68013E-03;2,71104E-03;1,90947E-03;4,17334E-03
823;6,67578E-03;2,66045E-03;1,91035E-03;3,99855E-03
824;6,42623E-03;2,60959E-03;1,88202E-03;3,98525E-03
825;6,54589E-03;2,57685E-03;1,89300E-03;4,00687E-03
826;6,51139E-03;2,64635E-03;1,91773E-03;3,95252E-03
827;6,68016E-03;2,63209E-03;1,94362E-03;4,08745E-03
828;6,68680E-03;2,67102E-03;2,00405E-03;4,08870E-03
829;6,86745E-03;2,76876E-03;2,02493E-03;4,18617E-03
830;7,07401E-03;2,78546E-03;2,07270E-03;4,31798E-03
831;7,30866E-03;2,91471E-03;2,17007E-03;4,44505E-03
832;7,54134E-03;3,06757E-03;2,26907E-03;4,65597E-03
833;8,03210E-03;3,17346E-03;2,40675E-03;4,82781E-03
834;8,29556E-03;3,36728E-03;2,52980E-03;5,11791E-03
835;8,84572E-03;3,57261E-03;2,68651E-03;5,39823E-03
836;9,53045E-03;3,78179E-03;2,83461E-03;5,73931E-03
837;9,78383E-03;4,01041E-03;3,03157E-03;6,06870E-03
838;1,06054E-02;4,24956E-03;3,20824E-03;6,43454E-03
839;1,12281E-02;4,48700E-03;3,41231E-03;6,74822E-03
840;1,18733E-02;4,73542E-03;3,62155E-03;7,23150E-03
841;1,26026E-02;5,07181E-03;3,89147E-03;7,69442E-03
842;1,32847E-02;5,38398E-03;4,13948E-03;8,16622E-03
843;1,42627E-02;5,75835E-03;4,41904E-03;8,69574E-03
844;1,49436E-02;6,11609E-03;4,64514E-03;9,10350E-03
845;1,57566E-02;6,43965E-03;4,92707E-03;9,58247E-03
846;1,67410E-02;6,74813E-03;5,20614E-03;1,00314E-02
847;1,74336E-02;7,07352E-03;5,44816E-03;1,06348E-02
848;1,82644E-02;7,42491E-03;5,65878E-03;1,11017E-02
849;1,89562E-02;7,72824E-03;5,99204E-03;1,15672E-02
850;1,95958E-02;8,00097E-03;6,17977E-03;1,21459E-02
851;1,99307E-02;8,16304E-03;6,33928E-03;1,22621E-02
852;1,99117E-02;8,17072E-03;6,32303E-03;1,23331E-02
853;1,96218E-02;8,07188E-03;6,35601E-03;1,21915E-02
854;1,90890E-02;7,87904E-03;6,17506E-03;1,18896E-02
855;1,82811E-02;7,60534E-03;5,95520E-03;1,14374E-02
856;1,72439E-02;7,16708E-03;5,65251E-03;1,09241E-02
857;1,60355E-02;6,70916E-03;5,36934E-03;1,01974E-02
858;1,49511E-02;6,17276E-03;4,96386E-03;9,43658E-03
859;1,33580E-02;5,61229E-03;4,51477E-03;8,52486E-03
860;1,21589E-02;5,10014E-03;4,06832E-03;7,77056E-03
861;1,08661E-02;4,55656E-03;3,65881E-03;6,96433E-03
862;9,96030E-03;4,13923E-03;3,36379E-03;6,35087E-03
863;9,06245E-03;3,75124E-03;3,06569E-03;5,87123E-03
864;8,37938E-03;3,49973E-03;2,84836E-03;5,39791E-03
865;7,81099E-03;3,25813E-03;2,67364E-03;5,03186E-03
866;7,47871E-03;3,06270E-03;2,52805E-03;4,75845E-03
867;7,12051E-03;2,92267E-03;2,44061E-03;4,55556E-03
868;6,97444E-03;2,80401E-03;2,36424E-03;4,35742E-03
869;6,72841E-03;2,71141E-03;2,29012E-03;4,23935E-03
870;6,53679E-03;2,67653E-03;2,25803E-03;4,20262E-03
871;6,61139E-03;2,64646E-03;2,25920E-03;4,17804E-03
872;6,58772E-03;2,64100E-03;2,26083E-03;4,15578E-03
873;6,66722E-03;2,68070E-03;2,32078E-03;4,25188E-03
874;6,93925E-03;2,73076E-03;2,32871E-03;4,27226E-03
875;6,87299E-03;2,80293E-03;2,41487E-03;4,40694E-03
876;7,00553E-03;2,83112E-03;2,44513E-03;4,42453E-03
877;7,22121E-03;2,86487E-03;2,47972E-03;4,54151E-03
878;7,33491E-03;2,90278E-03;2,54804E-03;4,65424E-03
879;7,54882E-03;2,98274E-03;2,59176E-03;4,64522E-03
880;7,75187E-03;3,07276E-03;2,69112E-03;4,83036E-03
881;7,92182E-03;3,21405E-03;2,79622E-03;5,03531E-03
882;8,07218E-03;3,28293E-03;2,84008E-03;5,22561E-03
883;8,60466E-03;3,39963E-03;2,94252E-03;5,33825E-03
884;8,70086E-03;3,51459E-03;3,04836E-03;5,41011E-03
885;9,06024E-03;3,66986E-03;3,17697E-03;5,71238E-03
886;9,32577E-03;3,74829E-03;3,26050E-03;5,93642E-03
887;9,85130E-03;3,93957E-03;3,39630E-03;6,04932E-03
888;1,01067E-02;4,09584E-03;3,57166E-03;6,40306E-03
889;1,05598E-02;4,28546E-03;3,68999E-03;6,74823E-03
890;1,12436E-02;4,48971E-03;3,89621E-03;7,00941E-03
891;1,16967E-02;4,74578E-03;4,06884E-03;7,39585E-03
892;1,23885E-02;4,98301E-03;4,31972E-03;7,75984E-03
893;1,27829E-02;5,18347E-03;4,49561E-03;8,05477E-03
894;1,34312E-02;5,49987E-03;4,75758E-03;8,52640E-03
895;1,42709E-02;5,76247E-03;5,00949E-03;8,97117E-03
896;1,51508E-02;6,06266E-03;5,24948E-03;9,49366E-03
897;1,61434E-02;6,50411E-03;5,54295E-03;9,93418E-03
898;1,67510E-02;6,86552E-03;5,85267E-03;1,05737E-02
899;1,76482E-02;7,26462E-03;6,19635E-03;1,12743E-02
900;1,89913E-02;7,74157E-03;6,66916E-03;1,18201E-02
901;1,98550E-02;8,19361E-03;6,97394E-03;1,25369E-02
902;2,08013E-02;8,50549E-03;7,34995E-03;1,32076E-02
903;2,20597E-02;8,98478E-03;7,71064E-03;1,37940E-02
904;2,29370E-02;9,36962E-03;8,02997E-03;1,43712E-02
905;2,37238E-02;9,72869E-03;8,35432E-03;1,48261E-02
906;2,40299E-02;9,99180E-03;8,54910E-03;1,53845E-02
907;2,44177E-02;1,00666E-02;8,63539E-03;1,54664E-02
908;2,43804E-02;1,00786E-02;8,66964E-03;1,56132E-02
909;2,40913E-02;1,00527E-02;8,56767E-03;1,54560E-02
910;2,36351E-02;9,78033E-03;8,42386E-03;1,51787E-02
911;2,27598E-02;9,45616E-03;8,15795E-03;1,46894E-02
912;2,17495E-02;9,09542E-03;7,76958E-03;1,39953E-02
913;2,05978E-02;8,62452E-03;7,45345E-03;1,34950E-02
914;1,98611E-02;8,16836E-03;7,10216E-03;1,27586E-02
915;1,85346E-02;7,72666E-03;6,74857E-03;1,22102E-02
916;1,80337E-02;7,40139E-03;6,48607E-03;1,16725E-02
917;1,73569E-02;7,12716E-03;6,29332E-03;1,11743E-02
918;1,67861E-02;6,90285E-03;6,11505E-03;1,08777E-02
919;1,65941E-02;6,74125E-03;5,91471E-03;1,06149E-02
920;1,63210E-02;6,59680E-03;5,84848E-03;1,04653E-02
921;1,60662E-02;6,61467E-03;5,74138E-03;1,03183E-02
922;1,60388E-02;6,56675E-03;5,76930E-03;1,03688E-02
923;1,64079E-02;6,61072E-03;5,83836E-03;1,03125E-02
924;1,67664E-02;6,71120E-03;5,86641E-03;1,04707E-02
925;1,68371E-02;6,75168E-03;6,01186E-03;1,06932E-02
926;1,72809E-02;6,92789E-03;6,08638E-03;1,09120E-02
927;1,76109E-02;7,12819E-03;6,29520E-03;1,12445E-02
928;1,84176E-02;7,35797E-03;6,49761E-03;1,15735E-02
929;1,88911E-02;7,54833E-03;6,73138E-03;1,18744E-02
930;1,97229E-02;7,84378E-03;6,97600E-03;1,22759E-02
931;2,03844E-02;8,13458E-03;7,22622E-03;1,28481E-02
932;2,10703E-02;8,42507E-03;7,45875E-03;1,32021E-02
933;2,17157E-02;8,68437E-03;7,75230E-03;1,35607E-02
934;2,25325E-02;9,07971E-03;8,00638E-03;1,41732E-02
935;2,29881E-02;9,33230E-03;8,30098E-03;1,46968E-02
936;2,40880E-02;9,58987E-03;8,44959E-03;1,51176E-02
937;2,46702E-02;9,95619E-03;8,83162E-03;1,54337E-02
938;2,53163E-02;1,02100E-02;9,00161E-03;1,59721E-02
939;2,56585E-02;1,04100E-02;9,13611E-03;1,62439E-02
940;2,59651E-02;1,05802E-02;9,40456E-03;1,65260E-02
941;2,63195E-02;1,07047E-02;9,48225E-03;1,67759E-02
942;2,62413E-02;1,06101E-02;9,36022E-03;1,65244E-02
943;2,62821E-02;1,05259E-02;9,30965E-03;1,65937E-02
944;2,54984E-02;1,04814E-02;9,06492E-03;1,62608E-02
945;2,47932E-02;1,01991E-02;8,98286E-03;1,59711E-02
946;2,42861E-02;1,00310E-02;8,58055E-03;1,55224E-02
947;2,34094E-02;9,73122E-03;8,33762E-03;1,48737E-02
948;2,25830E-02;9,24881E-03;7,95868E-03;1,42336E-02
949;2,11754E-02;8,97891E-03;7,63375E-03;1,35304E-02
950;2,03057E-02;8,54437E-03;7,16900E-03;1,31636E-02
951;1,92023E-02;8,14099E-03;6,82834E-03;1,23393E-02
952;1,79880E-02;7,73527E-03;6,36300E-03;1,15299E-02
953;1,71401E-02;7,37881E-03;6,00254E-03;1,10034E-02
954;1,60194E-02;6,97721E-03;5,70138E-03;1,04261E-02
955;1,53350E-02;6,73507E-03;5,36867E-03;9,76457E-03
956;1,45092E-02;6,49145E-03;5,08191E-03;9,38961E-03
957;1,41327E-02;6,30646E-03;4,82210E-03;8,96598E-03
958;1,35873E-02;6,10217E-03;4,65138E-03;8,55883E-03
959;1,29037E-02;5,97466E-03;4,47649E-03;8,30184E-03
960;1,26976E-02;5,84647E-03;4,36657E-03;8,13288E-03
961;1,24251E-02;5,91311E-03;4,19159E-03;7,81219E-03
962;1,25162E-02;5,80365E-03;4,12784E-03;7,81125E-03
963;1,27408E-02;5,73466E-03;4,12536E-03;7,78967E-03
964;1,25580E-02;5,85226E-03;4,03573E-03;7,65297E-03
965;1,22343E-02;5,84125E-03;4,00458E-03;7,73631E-03
966;1,25764E-02;6,01649E-03;4,13165E-03;7,84894E-03
967;1,27502E-02;6,14630E-03;4,12381E-03;7,85156E-03
968;1,29921E-02;6,22686E-03;4,23995E-03;8,03225E-03
969;1,29310E-02;6,35014E-03;4,25357E-03;8,13669E-03
970;1,35124E-02;6,47948E-03;4,33145E-03;8,22466E-03
971;1,37172E-02;6,70672E-03;4,45675E-03;8,38386E-03
972;1,38480E-02;6,84074E-03;4,48882E-03;8,63005E-03
973;1,41699E-02;6,97382E-03;4,56154E-03;8,80537E-03
974;1,43960E-02;7,18034E-03;4,68677E-03;9,04538E-03
975;1,49571E-02;7,37052E-03;4,79535E-03;9,08707E-03
976;1,53142E-02;7,53359E-03;4,81131E-03;9,31178E-03
977;1,54651E-02;7,68177E-03;5,01108E-03;9,65577E-03
978;1,57331E-02;7,88940E-03;5,13527E-03;9,72638E-03
979;1,61178E-02;8,00770E-03;5,15810E-03;1,00840E-02
980;1,62519E-02;8,21683E-03;5,29895E-03;1,00358E-02
981;1,71086E-02;8,36193E-03;5,45209E-03;1,05723E-02
982;1,70328E-02;8,50362E-03;5,42633E-03;1,04003E-02
983;1,72013E-02;8,60502E-03;5,54030E-03;1,06312E-02
984;1,73261E-02;8,67892E-03;5,58966E-03;1,06748E-02
985;1,76028E-02;8,75531E-03;5,61774E-03;1,09951E-02
986;1,75135E-02;8,85163E-03;5,59941E-03;1,09871E-02
987;1,77288E-02;8,83201E-03;5,66122E-03;1,09867E-02
988;1,74525E-02;8,91931E-03;5,68936E-03;1,10136E-02
989;1,73665E-02;8,93314E-03;5,73073E-03;1,08081E-02
990;1,75119E-02;8,90154E-03;5,71933E-03;1,07326E-02
991;1,75040E-02;8,85638E-03;5,59154E-03;1,07843E-02
992;1,70981E-02;8,62458E-03;5,57207E-03;1,07522E-02
993;1,67625E-02;8,57522E-03;5,54268E-03;1,05451E-02
994;1,67118E-02;8,36761E-03;5,42600E-03;1,04787E-02
995;1,65201E-02;8,25878E-03;5,23963E-03;1,01964E-02
996;1,61055E-02;8,00419E-03;5,11686E-03;9,93727E-03
997;1,54833E-02;7,78130E-03;5,05646E-03;9,81340E-03
998;1,49743E-02;7,52332E-03;4,85764E-03;9,20020E-03
999;1,46637E-02;7,41769E-03;4,68093E-03;9,09134E-03
1000;1,36535E-02;7,00015E-03;4,41346E-03;8,79399E-03
