;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune;D50_white;D50_blue;D50_vert;D50_jaune;L1_white;L1_blue;L1_vert;L1_yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
387;7,42378E-03;5,88503E-04;1,95233E-04;2,31303E-04;4,91534E-03;4,64669E-04;1,82139E-04;1,88745E-04;5,10986E-05;-4,72831E-06;-6,22288E-06;2,88346E-05
388;7,23350E-03;5,75511E-04;2,01252E-04;2,26829E-04;4,77250E-03;4,71634E-04;1,82876E-04;2,13572E-04;6,15046E-05;-7,04559E-07;-4,09027E-07;-4,82757E-05
389;7,04933E-03;5,86282E-04;1,97129E-04;2,05125E-04;4,70317E-03;4,82807E-04;1,78089E-04;1,95899E-04;-2,55711E-05;3,17168E-06;-9,61876E-07;1,00157E-04
390;6,73953E-03;5,93523E-04;1,88295E-04;2,19023E-04;4,60062E-03;4,67726E-04;1,72487E-04;2,27187E-04;4,89696E-05;-3,82039E-06;2,64413E-06;2,60028E-05
391;6,72741E-03;6,18672E-04;1,94662E-04;2,24853E-04;4,53286E-03;4,80811E-04;1,69783E-04;1,72430E-04;-3,14248E-05;2,08805E-05;2,26833E-06;-7,88842E-06
392;6,83496E-03;6,45435E-04;1,97579E-04;2,28886E-04;4,62086E-03;5,13477E-04;1,81257E-04;2,11265E-04;5,46743E-05;1,41980E-06;6,47693E-06;3,04654E-05
393;7,13878E-03;6,87904E-04;2,18383E-04;2,25872E-04;4,75451E-03;5,61023E-04;1,86992E-04;2,22272E-04;6,84983E-05;-2,52376E-06;-5,31809E-07;3,11786E-05
394;7,40762E-03;7,52263E-04;2,18842E-04;2,48658E-04;4,85499E-03;5,72138E-04;1,87914E-04;2,27259E-04;1,93846E-05;1,61951E-05;-1,85616E-05;-1,74076E-06
395;7,70999E-03;8,13484E-04;2,44587E-04;2,53317E-04;5,05811E-03;6,12702E-04;1,94835E-04;2,07997E-04;9,13311E-05;1,68992E-05;-1,68207E-06;5,28811E-05
396;8,12691E-03;8,79767E-04;2,56531E-04;2,97163E-04;5,12876E-03;6,57115E-04;1,96473E-04;2,30655E-04;6,43903E-05;3,02318E-06;6,98722E-06;-2,12308E-05
397;8,41559E-03;9,42686E-04;2,71594E-04;3,08732E-04;5,16904E-03;6,96480E-04;2,16685E-04;2,34988E-04;1,06788E-05;1,09680E-05;1,21180E-05;1,12009E-05
398;9,02441E-03;1,03582E-03;2,88014E-04;3,05906E-04;5,33027E-03;7,23301E-04;2,30874E-04;2,59127E-04;-2,80335E-05;5,97111E-06;3,31516E-06;-2,65903E-06
399;9,28233E-03;1,12664E-03;2,92224E-04;3,21859E-04;5,32584E-03;7,44305E-04;2,30438E-04;2,53318E-04;2,12240E-05;-1,14583E-06;1,08315E-05;1,57868E-05
400;9,81506E-03;1,20925E-03;3,13661E-04;3,38000E-04;5,48857E-03;7,87975E-04;2,38121E-04;2,64067E-04;3,04775E-05;8,75426E-06;4,04114E-06;4,36524E-05
401;1,02367E-02;1,27743E-03;3,44501E-04;3,65606E-04;5,54692E-03;8,17503E-04;2,47776E-04;2,70551E-04;8,48892E-05;6,52072E-06;-2,47403E-06;4,46841E-05
402;1,06701E-02;1,35422E-03;3,65126E-04;3,76213E-04;5,60023E-03;8,53744E-04;2,50313E-04;2,54957E-04;3,91539E-05;1,14972E-05;-7,01035E-07;7,27859E-06
403;1,08860E-02;1,44171E-03;3,53740E-04;3,91221E-04;5,64588E-03;8,68617E-04;2,40182E-04;2,60400E-04;1,00157E-05;5,72561E-06;2,96806E-07;8,33347E-05
404;1,10248E-02;1,47435E-03;3,54142E-04;3,74854E-04;5,51006E-03;8,96023E-04;2,36253E-04;2,61547E-04;3,64228E-05;1,42128E-05;-3,79015E-06;8,19412E-06
405;1,08820E-02;1,50544E-03;3,59245E-04;3,75780E-04;5,47202E-03;8,96491E-04;2,49987E-04;2,57856E-04;6,65762E-06;9,76081E-06;1,31853E-05;8,57513E-05
406;1,04356E-02;1,45296E-03;3,53735E-04;3,57453E-04;5,16988E-03;8,65332E-04;2,23572E-04;2,65653E-04;2,42684E-05;-3,13360E-06;1,39128E-05;-1,80005E-05
407;9,75934E-03;1,39877E-03;3,19150E-04;3,49308E-04;4,77096E-03;8,54066E-04;2,07924E-04;2,33879E-04;6,43206E-05;3,57154E-06;-1,11310E-05;1,99743E-05
408;9,03391E-03;1,35140E-03;2,95699E-04;3,15386E-04;4,47163E-03;7,99599E-04;1,90251E-04;2,20008E-04;6,76660E-05;2,92299E-06;5,77412E-06;-1,10887E-05
409;8,25922E-03;1,27169E-03;2,70410E-04;3,23796E-04;4,16263E-03;7,53256E-04;1,85378E-04;1,91486E-04;3,92752E-05;-2,72808E-07;-1,61094E-07;-3,74938E-05
410;7,56836E-03;1,20366E-03;2,56382E-04;2,61358E-04;3,75601E-03;7,21461E-04;1,67826E-04;1,57382E-04;6,33557E-05;5,35827E-06;-1,27751E-05;-1,77105E-05
411;6,97793E-03;1,13962E-03;2,36771E-04;2,75146E-04;3,53529E-03;6,64087E-04;1,53622E-04;1,59874E-04;-1,62915E-05;1,38868E-06;1,39881E-05;3,57384E-05
412;6,71262E-03;1,12701E-03;2,30478E-04;2,43508E-04;3,31569E-03;6,51070E-04;1,43940E-04;1,46174E-04;1,33605E-05;3,96647E-06;2,54827E-07;-1,99187E-05
413;6,53416E-03;1,08867E-03;2,29613E-04;2,41749E-04;3,13078E-03;6,47018E-04;1,36632E-04;1,50753E-04;1,97574E-05;1,40824E-05;7,41979E-06;-1,86613E-05
414;6,32551E-03;1,11312E-03;2,20828E-04;2,49023E-04;3,18844E-03;6,49793E-04;1,34819E-04;1,45810E-04;-1,92541E-05;1,38092E-05;5,48063E-06;-2,19136E-05
415;6,42757E-03;1,15497E-03;2,17001E-04;2,34080E-04;3,17616E-03;6,64777E-04;1,38967E-04;1,58680E-04;9,36297E-05;1,37713E-05;1,32291E-05;1,65280E-05
416;6,58482E-03;1,22802E-03;2,37646E-04;2,44410E-04;3,29346E-03;7,09208E-04;1,56104E-04;1,52901E-04;3,05190E-05;1,33058E-05;-5,93005E-06;-3,27290E-05
417;6,99881E-03;1,33312E-03;2,46236E-04;2,50168E-04;3,37361E-03;7,72525E-04;1,58709E-04;1,64894E-04;8,04606E-05;2,66175E-05;6,84521E-06;-3,90971E-06
418;7,34683E-03;1,44506E-03;2,63741E-04;2,65523E-04;3,64315E-03;8,33827E-04;1,61707E-04;1,60977E-04;3,32185E-05;1,16521E-05;9,54665E-06;-2,91270E-05
419;7,89954E-03;1,56108E-03;2,84687E-04;2,89000E-04;3,85933E-03;9,15512E-04;1,74500E-04;1,89205E-04;5,79169E-05;1,42892E-05;3,89202E-06;-2,19236E-05
420;8,80521E-03;1,78600E-03;3,22897E-04;3,02750E-04;4,29665E-03;1,02374E-03;1,86811E-04;1,98785E-04;1,37559E-04;2,56276E-05;8,54819E-06;-2,69829E-07
421;9,74242E-03;1,98669E-03;3,37939E-04;3,70988E-04;4,80911E-03;1,14429E-03;2,17529E-04;2,18574E-04;1,09020E-04;3,45058E-05;1,33600E-05;-5,26436E-05
422;1,08632E-02;2,24969E-03;3,86591E-04;3,92517E-04;5,32077E-03;1,31451E-03;2,46059E-04;2,45930E-04;6,46210E-05;2,79042E-05;-1,50389E-05;1,09328E-05
423;1,21091E-02;2,54506E-03;4,40806E-04;4,21576E-04;5,96378E-03;1,50623E-03;2,74501E-04;2,59915E-04;1,57727E-04;3,80614E-05;2,19006E-05;3,32225E-05
424;1,32649E-02;2,84390E-03;4,86516E-04;4,64052E-04;6,60443E-03;1,64879E-03;3,12080E-04;3,08546E-04;1,34723E-04;4,69050E-05;7,10395E-06;-1,81907E-05
425;1,48445E-02;3,19570E-03;5,33302E-04;5,25332E-04;7,44458E-03;1,87518E-03;3,46990E-04;3,43772E-04;1,38036E-04;3,19512E-05;8,24627E-06;3,58551E-05
426;1,60021E-02;3,53258E-03;5,92713E-04;5,66542E-04;8,15977E-03;2,07145E-03;3,64645E-04;3,64885E-04;1,55127E-04;5,96015E-05;1,33650E-05;-1,88786E-05
427;1,69830E-02;3,82449E-03;6,17806E-04;6,03973E-04;8,84326E-03;2,27823E-03;4,05346E-04;3,96329E-04;1,75580E-04;5,69355E-05;1,74051E-05;1,66634E-05
428;1,77325E-02;4,03600E-03;6,59682E-04;6,52593E-04;9,39355E-03;2,48729E-03;4,31414E-04;4,45471E-04;2,96911E-04;6,97207E-05;1,52332E-05;4,69431E-05
429;1,82911E-02;4,21469E-03;6,72459E-04;6,45931E-04;9,79906E-03;2,62196E-03;4,51176E-04;4,52589E-04;2,97517E-04;8,76923E-05;2,18344E-05;2,47934E-05
430;1,85277E-02;4,33970E-03;6,78334E-04;6,79715E-04;1,02676E-02;2,79591E-03;4,78689E-04;4,59302E-04;3,98819E-04;9,47648E-05;2,25498E-05;2,48159E-05
431;1,89143E-02;4,43099E-03;6,96245E-04;6,54236E-04;1,06415E-02;2,92722E-03;4,83095E-04;4,88229E-04;4,03301E-04;1,28647E-04;2,02033E-05;1,62651E-05
432;1,84738E-02;4,46954E-03;6,80318E-04;6,57261E-04;1,08779E-02;3,05208E-03;5,10513E-04;4,90573E-04;5,75659E-04;1,38454E-04;2,01481E-05;-9,15572E-06
433;1,83199E-02;4,46790E-03;6,69865E-04;6,64647E-04;1,10494E-02;3,17015E-03;5,24776E-04;5,35800E-04;6,43174E-04;1,73664E-04;2,28338E-05;2,99310E-05
434;1,85015E-02;4,56937E-03;6,79231E-04;6,70598E-04;1,15364E-02;3,32561E-03;5,40360E-04;5,41215E-04;7,11354E-04;1,98952E-04;2,78943E-05;5,35953E-07
435;1,87105E-02;4,70859E-03;6,85671E-04;6,82449E-04;1,20648E-02;3,50882E-03;5,65982E-04;5,78161E-04;7,50720E-04;2,38015E-04;3,21155E-05;1,26707E-04
436;1,90614E-02;4,86464E-03;6,97210E-04;6,80765E-04;1,26367E-02;3,74286E-03;5,86340E-04;6,21157E-04;1,01489E-03;2,66253E-04;4,13615E-05;3,12598E-05
437;1,98429E-02;5,07554E-03;7,17603E-04;7,04595E-04;1,34594E-02;4,00943E-03;6,11608E-04;6,30412E-04;1,13422E-03;3,30392E-04;5,67125E-05;7,49676E-05
438;2,07612E-02;5,39301E-03;7,53439E-04;7,66309E-04;1,42609E-02;4,34627E-03;6,70763E-04;6,80123E-04;1,28076E-03;3,83303E-04;5,70655E-05;5,89683E-05
439;2,18006E-02;5,76062E-03;7,97673E-04;8,10075E-04;1,53641E-02;4,70616E-03;7,35223E-04;7,37090E-04;1,51674E-03;4,52955E-04;7,39361E-05;5,69779E-05
440;2,31713E-02;6,10553E-03;8,66084E-04;8,50851E-04;1,64534E-02;5,09986E-03;7,68859E-04;7,87090E-04;1,99287E-03;5,27938E-04;7,35250E-05;1,10859E-04
441;2,42995E-02;6,48010E-03;9,05252E-04;8,96036E-04;1,77613E-02;5,48423E-03;8,45091E-04;8,48297E-04;2,18880E-03;6,11128E-04;9,64870E-05;1,12167E-04
442;2,55379E-02;6,87441E-03;9,63266E-04;9,62933E-04;1,88712E-02;5,89678E-03;8,98045E-04;8,90195E-04;2,48836E-03;7,10063E-04;1,18032E-04;1,57370E-04
443;2,68357E-02;7,22712E-03;1,00313E-03;9,90793E-04;1,99361E-02;6,26835E-03;9,41508E-04;9,74575E-04;2,95481E-03;8,48340E-04;1,40274E-04;9,77320E-05
444;2,79533E-02;7,49143E-03;1,04684E-03;1,03110E-03;2,10378E-02;6,59033E-03;1,02919E-03;1,03593E-03;3,54147E-03;9,74478E-04;1,55107E-04;1,33484E-04
445;2,87914E-02;7,77598E-03;1,06883E-03;1,05822E-03;2,19828E-02;6,90008E-03;1,05908E-03;1,08722E-03;3,89510E-03;1,13901E-03;1,95455E-04;2,33377E-04
446;2,92960E-02;7,95660E-03;1,13645E-03;1,09345E-03;2,26707E-02;7,08634E-03;1,11513E-03;1,13057E-03;4,57042E-03;1,31145E-03;2,04602E-04;2,60883E-04
447;2,95625E-02;8,08873E-03;1,14763E-03;1,13972E-03;2,32021E-02;7,31523E-03;1,15691E-03;1,15981E-03;5,21699E-03;1,52958E-03;2,28013E-04;2,74016E-04
448;2,99222E-02;8,17795E-03;1,17738E-03;1,13025E-03;2,36591E-02;7,41845E-03;1,18687E-03;1,18216E-03;6,00936E-03;1,75341E-03;2,64257E-04;2,75636E-04
449;3,04067E-02;8,28513E-03;1,21688E-03;1,16489E-03;2,39826E-02;7,52931E-03;1,22764E-03;1,21782E-03;6,99827E-03;2,00718E-03;3,19788E-04;3,24050E-04
450;3,03788E-02;8,33050E-03;1,22944E-03;1,15383E-03;2,44495E-02;7,62356E-03;1,25786E-03;1,23314E-03;7,80306E-03;2,29778E-03;3,79186E-04;3,99859E-04
451;3,07450E-02;8,37147E-03;1,26088E-03;1,20701E-03;2,45789E-02;7,69808E-03;1,29468E-03;1,23271E-03;8,92309E-03;2,62202E-03;4,33560E-04;3,99947E-04
452;3,10148E-02;8,43737E-03;1,29306E-03;1,22171E-03;2,48061E-02;7,75597E-03;1,32417E-03;1,25497E-03;1,03160E-02;3,02902E-03;4,89447E-04;5,06659E-04
453;3,09551E-02;8,43965E-03;1,33730E-03;1,23193E-03;2,48918E-02;7,73933E-03;1,37052E-03;1,27789E-03;1,15690E-02;3,40429E-03;5,65279E-04;5,54305E-04
454;3,11659E-02;8,46285E-03;1,35962E-03;1,23703E-03;2,48907E-02;7,78925E-03;1,37247E-03;1,28937E-03;1,31017E-02;3,82139E-03;6,52925E-04;6,15737E-04
455;3,10294E-02;8,43795E-03;1,38809E-03;1,24734E-03;2,48375E-02;7,71038E-03;1,39270E-03;1,26217E-03;1,48724E-02;4,32878E-03;7,52120E-04;7,40548E-04
456;3,09578E-02;8,34454E-03;1,38325E-03;1,25280E-03;2,46366E-02;7,60242E-03;1,39214E-03;1,27759E-03;1,67734E-02;4,93849E-03;8,45063E-04;8,26910E-04
457;3,07810E-02;8,32679E-03;1,43021E-03;1,28460E-03;2,42937E-02;7,50223E-03;1,39977E-03;1,24556E-03;1,89917E-02;5,50533E-03;9,81094E-04;9,29868E-04
458;3,04975E-02;8,24238E-03;1,40849E-03;1,27432E-03;2,38458E-02;7,29264E-03;1,40721E-03;1,26943E-03;2,14771E-02;6,17420E-03;1,12132E-03;1,14907E-03
459;3,02753E-02;8,14400E-03;1,40782E-03;1,26577E-03;2,32450E-02;7,11664E-03;1,37577E-03;1,24231E-03;2,40660E-02;6,93894E-03;1,28868E-03;1,27758E-03
460;3,02095E-02;8,09091E-03;1,45117E-03;1,29074E-03;2,28695E-02;6,96871E-03;1,40094E-03;1,26346E-03;2,69005E-02;7,76713E-03;1,46300E-03;1,44435E-03
461;3,01090E-02;8,06166E-03;1,46983E-03;1,31409E-03;2,24643E-02;6,82169E-03;1,36882E-03;1,21933E-03;3,00881E-02;8,64121E-03;1,65498E-03;1,54046E-03
462;3,02854E-02;8,07177E-03;1,50816E-03;1,34539E-03;2,20432E-02;6,70977E-03;1,36712E-03;1,22442E-03;3,35612E-02;9,53798E-03;1,85277E-03;1,85752E-03
463;3,08174E-02;8,19324E-03;1,55280E-03;1,35271E-03;2,19830E-02;6,68875E-03;1,39594E-03;1,22815E-03;3,70852E-02;1,05567E-02;2,08929E-03;1,95871E-03
464;3,15939E-02;8,33915E-03;1,60661E-03;1,42301E-03;2,21960E-02;6,68308E-03;1,43136E-03;1,26528E-03;4,05929E-02;1,15217E-02;2,33538E-03;2,19762E-03
465;3,29136E-02;8,57024E-03;1,69642E-03;1,49014E-03;2,24812E-02;6,73665E-03;1,48532E-03;1,29909E-03;4,42876E-02;1,24671E-02;2,62442E-03;2,44370E-03
466;3,37917E-02;8,78294E-03;1,78182E-03;1,54805E-03;2,28240E-02;6,82007E-03;1,53015E-03;1,36298E-03;4,78142E-02;1,33247E-02;2,86313E-03;2,68827E-03
467;3,52956E-02;9,02620E-03;1,89393E-03;1,63043E-03;2,34240E-02;6,95937E-03;1,59018E-03;1,37771E-03;5,10271E-02;1,41728E-02;3,14133E-03;2,93244E-03
468;3,65806E-02;9,33927E-03;2,01988E-03;1,70851E-03;2,40423E-02;7,04675E-03;1,67253E-03;1,44867E-03;5,35194E-02;1,47719E-02;3,36974E-03;3,05629E-03
469;3,77089E-02;9,59293E-03;2,14707E-03;1,83050E-03;2,45150E-02;7,21112E-03;1,76135E-03;1,52550E-03;5,54695E-02;1,52230E-02;3,55097E-03;3,22453E-03
470;3,86071E-02;9,69238E-03;2,21285E-03;1,88733E-03;2,50189E-02;7,22950E-03;1,82799E-03;1,55070E-03;5,61517E-02;1,52149E-02;3,69292E-03;3,44785E-03
471;3,93116E-02;9,78073E-03;2,32991E-03;1,95530E-03;2,53938E-02;7,32991E-03;1,93223E-03;1,62747E-03;5,69085E-02;1,52918E-02;3,83897E-03;3,32577E-03
472;3,94265E-02;9,76236E-03;2,38563E-03;2,05700E-03;2,55880E-02;7,28171E-03;1,98646E-03;1,65450E-03;5,58148E-02;1,49582E-02;3,84158E-03;3,46671E-03
473;3,91695E-02;9,57886E-03;2,44471E-03;2,04026E-03;2,54142E-02;7,17398E-03;2,02391E-03;1,68328E-03;5,43903E-02;1,43806E-02;3,82460E-03;3,40405E-03
474;3,86696E-02;9,41128E-03;2,48127E-03;2,03704E-03;2,52227E-02;7,05170E-03;2,02926E-03;1,72360E-03;5,22892E-02;1,36070E-02;3,76923E-03;3,30698E-03
475;3,76894E-02;9,00541E-03;2,49904E-03;2,05078E-03;2,47330E-02;6,88035E-03;2,06648E-03;1,69173E-03;4,90212E-02;1,28642E-02;3,66996E-03;3,16545E-03
476;3,63513E-02;8,64341E-03;2,49773E-03;2,01499E-03;2,40067E-02;6,57523E-03;2,05922E-03;1,68459E-03;4,62059E-02;1,17895E-02;3,54980E-03;3,02994E-03
477;3,49900E-02;8,23219E-03;2,47187E-03;1,99772E-03;2,31667E-02;6,26704E-03;2,06458E-03;1,66072E-03;4,27137E-02;1,08480E-02;3,35785E-03;2,88225E-03
478;3,35825E-02;7,77353E-03;2,42400E-03;1,98543E-03;2,24233E-02;5,96217E-03;2,05692E-03;1,64993E-03;3,95151E-02;9,89773E-03;3,20279E-03;2,69213E-03
479;3,20806E-02;7,34580E-03;2,42704E-03;1,92136E-03;2,15157E-02;5,63209E-03;2,01988E-03;1,63540E-03;3,62135E-02;8,95329E-03;3,05219E-03;2,56956E-03
480;3,09314E-02;6,98257E-03;2,40546E-03;1,91911E-03;2,07398E-02;5,39946E-03;2,03187E-03;1,60634E-03;3,35275E-02;8,21870E-03;2,89894E-03;2,50899E-03
481;2,97868E-02;6,67541E-03;2,41717E-03;1,92849E-03;2,01143E-02;5,11583E-03;2,02577E-03;1,60179E-03;3,11143E-02;7,44502E-03;2,74318E-03;2,30330E-03
482;2,93252E-02;6,40162E-03;2,43598E-03;1,93063E-03;1,96083E-02;4,90718E-03;2,04052E-03;1,62354E-03;2,84722E-02;6,83299E-03;2,60550E-03;2,21420E-03
483;2,88832E-02;6,15308E-03;2,48942E-03;1,94678E-03;1,92071E-02;4,71985E-03;2,09786E-03;1,63811E-03;2,64485E-02;6,20781E-03;2,49225E-03;2,06392E-03
484;2,88089E-02;6,02437E-03;2,57829E-03;2,02213E-03;1,90889E-02;4,62234E-03;2,11982E-03;1,66389E-03;2,50885E-02;5,71023E-03;2,41268E-03;2,03880E-03
485;2,86948E-02;5,96367E-03;2,67526E-03;2,11172E-03;1,89857E-02;4,46678E-03;2,17220E-03;1,72259E-03;2,34292E-02;5,25927E-03;2,33007E-03;1,91516E-03
486;2,93011E-02;5,94056E-03;2,77433E-03;2,21485E-03;1,92449E-02;4,44427E-03;2,27845E-03;1,78798E-03;2,18189E-02;4,85191E-03;2,30556E-03;1,92985E-03
487;2,98909E-02;5,91059E-03;2,94667E-03;2,34585E-03;1,93514E-02;4,36868E-03;2,38797E-03;1,88025E-03;2,06125E-02;4,45491E-03;2,20955E-03;1,80110E-03
488;3,04439E-02;5,91573E-03;3,12273E-03;2,49955E-03;1,96438E-02;4,35840E-03;2,48418E-03;2,01143E-03;1,92133E-02;4,10066E-03;2,12376E-03;1,75913E-03
489;3,15283E-02;6,03740E-03;3,36611E-03;2,70810E-03;2,01064E-02;4,37793E-03;2,66266E-03;2,11257E-03;1,82194E-02;3,78540E-03;2,11761E-03;1,78243E-03
490;3,26261E-02;6,06439E-03;3,56951E-03;2,92731E-03;2,06623E-02;4,38283E-03;2,81344E-03;2,25101E-03;1,69930E-02;3,45179E-03;1,99863E-03;1,66116E-03
491;3,38494E-02;6,15877E-03;3,84526E-03;3,13546E-03;2,12256E-02;4,38857E-03;2,98013E-03;2,40811E-03;1,60102E-02;3,19795E-03;1,94391E-03;1,67857E-03
492;3,50495E-02;6,24245E-03;4,09797E-03;3,40432E-03;2,19171E-02;4,42768E-03;3,17752E-03;2,59140E-03;1,49594E-02;2,89858E-03;1,87479E-03;1,57477E-03
493;3,62689E-02;6,36014E-03;4,38193E-03;3,71183E-03;2,25169E-02;4,48952E-03;3,37425E-03;2,78657E-03;1,40336E-02;2,68531E-03;1,84587E-03;1,63874E-03
494;3,79462E-02;6,44729E-03;4,71858E-03;4,04423E-03;2,33326E-02;4,54410E-03;3,59261E-03;2,99633E-03;1,32908E-02;2,47769E-03;1,79780E-03;1,61664E-03
495;3,91618E-02;6,54869E-03;5,02926E-03;4,37178E-03;2,40175E-02;4,58742E-03;3,83370E-03;3,26733E-03;1,25944E-02;2,27996E-03;1,76692E-03;1,52375E-03
496;4,05220E-02;6,61163E-03;5,36881E-03;4,70290E-03;2,48483E-02;4,65774E-03;4,07060E-03;3,54186E-03;1,21324E-02;2,14585E-03;1,74279E-03;1,50249E-03
497;4,17818E-02;6,67416E-03;5,66337E-03;5,04625E-03;2,56871E-02;4,65872E-03;4,31435E-03;3,78955E-03;1,15249E-02;2,00403E-03;1,71523E-03;1,55847E-03
498;4,27307E-02;6,68593E-03;5,97226E-03;5,41854E-03;2,63472E-02;4,69928E-03;4,58027E-03;4,07639E-03;1,10927E-02;1,88582E-03;1,70080E-03;1,57991E-03
499;4,33253E-02;6,65984E-03;6,26123E-03;5,77899E-03;2,67667E-02;4,70737E-03;4,78497E-03;4,38761E-03;1,06363E-02;1,76452E-03;1,69092E-03;1,60405E-03
500;4,38998E-02;6,62353E-03;6,55242E-03;6,17508E-03;2,73272E-02;4,67643E-03;5,02434E-03;4,63568E-03;1,02178E-02;1,70518E-03;1,68351E-03;1,66214E-03
501;4,42381E-02;6,51966E-03;6,75371E-03;6,48514E-03;2,76518E-02;4,62136E-03;5,23427E-03;4,93589E-03;9,86684E-03;1,58599E-03;1,68554E-03;1,59469E-03
502;4,40026E-02;6,37358E-03;6,98029E-03;6,78053E-03;2,79157E-02;4,59146E-03;5,46185E-03;5,21913E-03;9,59100E-03;1,50621E-03;1,67825E-03;1,66163E-03
503;4,39310E-02;6,17806E-03;7,15397E-03;7,07190E-03;2,80356E-02;4,50263E-03;5,65722E-03;5,50970E-03;9,27994E-03;1,42390E-03;1,65777E-03;1,66480E-03
504;4,33249E-02;5,99934E-03;7,28926E-03;7,38755E-03;2,80444E-02;4,40307E-03;5,82643E-03;5,78918E-03;8,90989E-03;1,34242E-03;1,63681E-03;1,69662E-03
505;4,29606E-02;5,78197E-03;7,38167E-03;7,57207E-03;2,80568E-02;4,31823E-03;5,99857E-03;6,08049E-03;8,54237E-03;1,24536E-03;1,64089E-03;1,64205E-03
506;4,21038E-02;5,54100E-03;7,45273E-03;7,86699E-03;2,77043E-02;4,21973E-03;6,10371E-03;6,32929E-03;8,16709E-03;1,18990E-03;1,61147E-03;1,65282E-03
507;4,11499E-02;5,31912E-03;7,54284E-03;8,05956E-03;2,76737E-02;4,08983E-03;6,24217E-03;6,55083E-03;7,68661E-03;1,10861E-03;1,58497E-03;1,68622E-03
508;4,02368E-02;5,11119E-03;7,58948E-03;8,24262E-03;2,73357E-02;3,94795E-03;6,40098E-03;6,77638E-03;7,34958E-03;1,02406E-03;1,52431E-03;1,65020E-03
509;3,92696E-02;4,84184E-03;7,64916E-03;8,53014E-03;2,70555E-02;3,81914E-03;6,50225E-03;7,06589E-03;6,92404E-03;9,54261E-04;1,48470E-03;1,63735E-03
510;3,84470E-02;4,70422E-03;7,70829E-03;8,71770E-03;2,68630E-02;3,71850E-03;6,58433E-03;7,30285E-03;6,77068E-03;8,87878E-04;1,43635E-03;1,63126E-03
511;3,79057E-02;4,47900E-03;7,77068E-03;8,92673E-03;2,66827E-02;3,61887E-03;6,77359E-03;7,62591E-03;6,32825E-03;8,27674E-04;1,41615E-03;1,59036E-03
512;3,71065E-02;4,32356E-03;7,83983E-03;9,16397E-03;2,64461E-02;3,52007E-03;6,87461E-03;7,89859E-03;6,10693E-03;7,65128E-04;1,37275E-03;1,61928E-03
513;3,64904E-02;4,14147E-03;7,92178E-03;9,40298E-03;2,64407E-02;3,41393E-03;7,03991E-03;8,15537E-03;5,83173E-03;7,07814E-04;1,36648E-03;1,65429E-03
514;3,58654E-02;3,99513E-03;7,97265E-03;9,65474E-03;2,61522E-02;3,31211E-03;7,15933E-03;8,47979E-03;5,58936E-03;6,82659E-04;1,34701E-03;1,63469E-03
515;3,58167E-02;3,87786E-03;8,12655E-03;9,93341E-03;2,63002E-02;3,26489E-03;7,34119E-03;8,74229E-03;5,48726E-03;6,44697E-04;1,33478E-03;1,73426E-03
516;3,53091E-02;3,74533E-03;8,22729E-03;1,02045E-02;2,62860E-02;3,19365E-03;7,44186E-03;9,11570E-03;5,31920E-03;6,03741E-04;1,35746E-03;1,66846E-03
517;3,50547E-02;3,64529E-03;8,35001E-03;1,04619E-02;2,63170E-02;3,12881E-03;7,65894E-03;9,41627E-03;5,32315E-03;5,94253E-04;1,37034E-03;1,76940E-03
518;3,48044E-02;3,55114E-03;8,46008E-03;1,07468E-02;2,64503E-02;3,05923E-03;7,82889E-03;9,81559E-03;5,34047E-03;5,85270E-04;1,37666E-03;1,77404E-03
519;3,44678E-02;3,44330E-03;8,55474E-03;1,09894E-02;2,64887E-02;3,00878E-03;7,96684E-03;1,01071E-02;5,27192E-03;5,53969E-04;1,39855E-03;1,80340E-03
520;3,44883E-02;3,34525E-03;8,64013E-03;1,12932E-02;2,66405E-02;2,97975E-03;8,17243E-03;1,04019E-02;5,42633E-03;5,43853E-04;1,46158E-03;1,93365E-03
521;3,44165E-02;3,26101E-03;8,75272E-03;1,15106E-02;2,67684E-02;2,94497E-03;8,30722E-03;1,07449E-02;5,50186E-03;5,42814E-04;1,49267E-03;1,94758E-03
522;3,42687E-02;3,19947E-03;8,83235E-03;1,17675E-02;2,68187E-02;2,90409E-03;8,46915E-03;1,10499E-02;5,63951E-03;5,27383E-04;1,52439E-03;2,11843E-03
523;3,42936E-02;3,11165E-03;8,94532E-03;1,20751E-02;2,72999E-02;2,85956E-03;8,64700E-03;1,13487E-02;5,62500E-03;5,36427E-04;1,59666E-03;2,15100E-03
524;3,41265E-02;3,05436E-03;9,03802E-03;1,22285E-02;2,72668E-02;2,82732E-03;8,77480E-03;1,17286E-02;5,75644E-03;5,39126E-04;1,63400E-03;2,27119E-03
525;3,42050E-02;2,97591E-03;9,13202E-03;1,24580E-02;2,74885E-02;2,75763E-03;8,93249E-03;1,19896E-02;5,90758E-03;5,35085E-04;1,68310E-03;2,30474E-03
